cluster_label,source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,prob_A,membership_prob,prob_source,ms_flag,giant_flag,cluster_centre_ra,cluster_centre_dec,hunt24_name,simbad_name,sp_type,sp_class
188,458011674618335744,38.547397,57.491558,-0.295736,-1.014847,0.042790,0.046417,0.450130,0.056642,16.409706,17.034021,15.632251,1.062041,0.503401,0.981684,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458014732635178752,38.100910,57.378781,-0.192773,-1.034786,0.040697,0.041572,0.368557,0.046045,16.383951,16.968449,15.623943,1.018405,0.000000,0.962243,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458019199393796096,38.099486,57.428102,-0.324588,-1.051072,0.039255,0.040189,0.407308,0.037065,15.759660,16.154863,15.051013,1.024664,0.543205,0.989410,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458019916653812096,38.154399,57.491508,-0.173931,-1.152523,0.076483,0.082913,0.443359,0.094350,17.589098,18.448402,16.654577,0.951092,0.511127,0.956371,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458020883028245376,38.066478,57.516268,-0.229319,-0.951944,0.052250,0.053120,0.443510,0.063911,16.907630,17.664710,16.032470,1.015171,0.000000,0.952533,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458021295345076992,38.050701,57.558516,-0.284139,-1.102499,0.033726,0.033941,0.424352,0.041926,16.138695,16.726057,15.392624,1.020349,0.564633,0.991945,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458024044124105984,38.429303,57.561301,-0.194833,-1.060529,0.021638,0.023593,0.441523,0.028517,14.820470,15.172441,14.286731,1.095632,0.707604,0.988662,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458026208787635968,38.204839,57.572656,-0.201426,-1.194609,0.016171,0.017530,0.433645,0.020625,11.864969,12.222994,11.325129,1.357892,0.634607,0.983377,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458026449306085248,38.285586,57.578721,-0.145201,-0.990758,0.038244,0.039773,0.457858,0.046365,16.198442,16.864264,15.400848,0.986594,0.547210,0.939948,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458027377018704768,38.112766,57.633683,-0.247531,-1.178931,0.034368,0.033810,0.352396,0.040520,15.992394,16.500050,15.313694,1.006892,0.000000,0.962595,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458028064213786752,38.310676,57.627074,-0.316400,-1.076066,0.040710,0.044648,0.373857,0.049102,16.312775,16.915533,15.562025,1.058026,0.575902,0.987329,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458009784832780544,38.419768,57.436149,-0.342093,-1.099360,0.014074,0.014728,0.406155,0.017577,10.944648,11.268477,10.436509,1.224480,0.617250,0.994851,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458011743337823232,38.488664,57.485984,-0.358974,-1.177605,0.051940,0.055395,0.320237,0.066471,16.844038,17.533316,16.037172,0.999160,0.000000,0.935388,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458022291777498112,38.369053,57.506737,-0.337835,-1.181554,0.033247,0.034511,0.432654,0.045868,15.925291,16.628204,15.092562,0.989074,0.785164,0.984391,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458022802871827584,38.220819,57.496670,-0.365579,-1.127893,0.114940,0.117549,0.287596,0.132477,18.099567,19.014105,17.171246,0.977802,0.000000,0.920390,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
