Name,ID,source_id,inrt,Prob,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,RV,_RA.icrs,_DE.icrs
NGC_957             ,4463,457944020291671168,1,0.8239703349684527,39.61778477,57.7367831,-0.12324515,-1.14705926,0.40670128,13.022075,13.336106,12.528421,            ,39.6177858,57.7367882
NGC_957             ,4463,457945875719165824,1,0.7724772550133062,39.58449173,57.7918846,-0.21272851,-1.08186094,0.41183302,19.994452,20.844423,19.064018,            ,39.5844935,57.7918894
NGC_957             ,4463,457946700350801536,1,0.8361241262238353,39.44844596,57.7246421,-0.11647904,-1.11829608,0.42510207,14.416991,14.794914,13.778173,            ,39.44844692,57.7246471
NGC_957             ,4463,457947043948173440,1,0.6836258867683134,39.46073349,57.7638844,-0.19807262,-1.18979372,0.41770789,10.896482,11.142998,10.475556,            ,39.46073514,57.7638897
NGC_957             ,4463,457947250106602752,1,0.7290376014178453,39.50532921,57.7598827,-0.11093048,-1.02975561,0.44433374,14.923242,15.313475,14.344379,            ,39.50533014,57.7598873
NGC_957             ,4463,457947490624769920,1,0.8361241262238353,39.45710837,57.7717056,-0.11035328,-1.10064902,0.40947891,13.182246,13.466552,12.719515,            ,39.45710929,57.7717105
NGC_957             ,4463,457947593706084352,1,0.7179755028964487,39.50868243,57.8001553,-0.10887333,-1.09605969,0.4399721,18.715994,19.680918,17.707352,            ,39.50868334,57.8001602
NGC_957             ,4463,457948109100057344,1,0.8361241262238353,39.37280791,57.7977312,-0.19068379,-1.07876865,0.41141403,14.900144,15.262546,14.350342,            ,39.3728095,57.797736
NGC_957             ,4463,457948276598071168,1,0.715335035807859,39.45854849,57.796983,-0.05184239,-1.16972157,0.41364927,17.77237,18.756311,16.780897,            ,39.45854892,57.7969882
NGC_957             ,4463,457948865014291584,1,0.7760062981401893,39.54850844,57.8054806,-0.10237208,-1.13172388,0.43192024,15.776407,16.210672,15.157873,            ,39.5485093,57.8054856
NGC_957             ,4463,457948968093500160,1,0.7849567061284602,39.59809445,57.8312079,-0.13816105,-1.09834085,0.43594378,13.889055,14.198936,13.397276,            ,39.5980956,57.8312127
NGC_957             ,4463,457949002453237888,1,0.7757634734888949,39.57915985,57.8348299,-0.07586787,-1.1133928,0.42620469,16.417915,17.015827,15.675821,            ,39.57916048,57.8348348
NGC_957             ,4463,457949998885647488,1,0.7864156015675142,39.48373068,57.8577588,-0.11005365,-1.12550948,0.40828067,16.059338,16.489386,15.259418,            ,39.4837316,57.8577638
NGC_957             ,4463,457950067605117056,1,0.7454134793348622,39.53642744,57.8768824,-0.09913081,-1.06082131,0.40665516,14.624697,14.942032,14.060259,            ,39.53642827,57.8768871
NGC_957             ,4463,457951235836606208,1,0.7367406508659167,39.84023542,57.8364486,-0.08741017,-1.06676194,0.44254332,14.939892,15.280794,14.41209,            ,39.84023615,57.8364533
NGC_957             ,4463,457951270197579520,1,0.7648539138575047,39.79290413,57.8129628,-0.15892106,-1.084233,0.41002012,16.73866,17.388449,15.880308,            ,39.79290546,57.8129676
NGC_957             ,4463,457952472787163008,1,0.7568614402726161,39.71986927,57.8909611,-0.08898509,-1.07539829,0.41867291,15.107568,15.436696,14.597391,            ,39.71987001,57.8909659
NGC_957             ,4463,457993807553597184,1,0.6964999731877878,37.90957245,57.3333795,-0.24273806,-1.15886701,0.40517561,17.121042,17.853428,16.28991,            ,37.90957445,57.3333846
NGC_957             ,4463,458002569287793152,1,0.800982441562586,38.44556381,57.3374775,-0.29174329,-1.10371523,0.41693675,15.391759,15.90536,14.701731,            ,38.44556621,57.3374824
NGC_957             ,4463,458003187763094656,1,0.6935231481778005,38.28768382,57.3426222,-0.39829924,-1.01152984,0.43966206,17.122965,17.917538,16.259502,            ,38.2876871,57.3426267
NGC_957             ,4463,458006894309864704,1,0.7921239382585971,38.7618717,57.4172321,-0.28718457,-1.1535116,0.413139,14.742738,15.110634,14.096927,            ,38.76187407,57.4172372
NGC_957             ,4463,458007448370790272,1,0.8033318011885107,38.64773307,57.4148788,-0.3259245,-1.07599075,0.43515445,17.726254,18.499573,16.861742,            ,38.64773576,57.4148836
NGC_957             ,4463,458008062541226624,1,0.7522183517282502,38.74093517,57.4629033,-0.27188663,-1.09483118,0.35276719,16.951267,17.794128,16.048933,            ,38.74093742,57.4629082
NGC_957             ,4463,458008101205804160,1,0.7730585767614125,38.71267122,57.4693781,-0.29689517,-1.16212386,0.4177226,14.045645,14.451284,13.455318,            ,38.71267367,57.4693832
NGC_957             ,4463,458009063278300160,1,0.8081610161148837,38.50453278,57.3932331,-0.32167535,-1.168684,0.44151392,16.420927,17.084827,15.627402,            ,38.50453543,57.3932383
NGC_957             ,4463,458009784832780544,1,0.8854117600934663,38.4197676,57.4361487,-0.34209254,-1.09936043,0.40615502,10.944648,11.268476,10.436509,            ,38.41977043,57.4361536
NGC_957             ,4463,458009784833003136,1,1.0,38.41397328,57.4359794,-0.33701019,-1.15106968,0.43999077,15.484371,15.966365,14.815417,            ,38.41397606,57.4359845
NGC_957             ,4463,458009819192534016,1,0.6886609515031792,38.47976038,57.4095079,-0.2990046,-1.11036934,0.35216337,16.374737,17.00198,15.603221,            ,38.47976285,57.4095129
NGC_957             ,4463,458009922271731968,1,0.8697069229708341,38.46287465,57.4325801,-0.31779408,-1.08356333,0.37647325,15.57066,16.061226,14.90838,            ,38.46287728,57.4325849
NGC_957             ,4463,458010025350933760,1,1.0,38.49141782,57.4441751,-0.32011494,-1.11223391,0.44510144,18.39319,19.344433,17.420866,            ,38.49142047,57.4441801
NGC_957             ,4463,458010128430155904,1,0.7431788206385133,38.45806882,57.440957,-0.21796482,-1.0624889,0.38072986,15.281283,15.739571,14.636766,            ,38.45807062,57.4409617
NGC_957             ,4463,458010197149623424,1,1.0,38.43714687,57.4533503,-0.32557099,-1.09070763,0.46114846,16.825735,17.61384,15.951424,            ,38.43714956,57.4533551
