Name,ID,source_id,inrt,Prob,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,RV,_RA.icrs,_DE.icrs
Berkeley_87         ,259,2057968012638296576,1,1.0,305.4709788,37.4173434,-3.6652979,-6.50149101,0.58606374,16.40198,17.622606,15.318115,            ,305.4709993,37.4173723
Berkeley_87         ,259,2057968081357784064,1,1.0,305.4555368,37.4264594,-3.66803231,-6.30077253,0.58788116,16.530718,17.603336,15.511369,            ,305.4555573,37.4264874
Berkeley_87         ,259,2057968081357787392,1,1.0,305.4515721,37.4350162,-3.6163093,-6.37008238,0.56365574,14.713152,15.682847,13.735217,            ,305.4515924,37.4350445
Berkeley_87         ,259,2057968115717520640,1,1.0,305.4687424,37.4399845,-3.65921519,-6.41865694,0.52517792,16.974266,18.246288,15.861717,            ,305.4687629,37.440013
Berkeley_87         ,259,2057968115717522560,1,1.0,305.4623801,37.4350062,-3.54427185,-6.36245023,0.57844108,12.796445,13.736968,11.824801,            ,305.4624,37.4350345
Berkeley_87         ,259,2057968218796734208,1,1.0,305.4732215,37.4414409,-3.63351115,-6.51712561,0.57001301,15.875598,17.028948,14.813997,            ,305.4732419,37.4414699
Berkeley_87         ,259,2057968287516222336,1,1.0,305.4446934,37.4380049,-3.66505067,-6.19643093,0.5458913,14.463502,15.437115,13.474562,            ,305.444714,37.4380324
Berkeley_87         ,259,2057968287516222976,1,1.0,305.4472382,37.4421936,-3.67085075,-6.40932995,0.53661287,10.99183,11.819003,10.090996,            ,305.4472587,37.4422221
Berkeley_87         ,259,2057968321875964032,1,1.0,305.4534571,37.4567686,-3.64804629,-6.33053664,0.55059233,15.227593,16.318424,14.18759, -113.140800,305.4534776,37.4567968
Berkeley_87         ,259,2057968321875966592,1,1.0,305.4461051,37.4534002,-3.54470229,-6.28314226,0.56194069,14.65064,15.738168,13.617523,            ,305.4461249,37.4534282
Berkeley_87         ,259,2057968489373232256,1,1.0,305.4452189,37.4751125,-3.62230223,-6.40738659,0.51778294,16.516962,17.83508,15.388074,            ,305.4452391,37.475141
Berkeley_87         ,259,2060963219754750208,1,1.0,305.2225731,37.3506164,-3.54537793,-6.3236756,0.58988927,15.40839,16.196611,14.522911,            ,305.2225929,37.3506445
Berkeley_87         ,259,2060963632071611392,1,1.0,305.2359744,37.3696149,-3.61237882,-6.45493201,0.55768244,15.057775,16.079432,14.012635,            ,305.2359946,37.3696435
Berkeley_87         ,259,2060967411646651264,1,1.0,305.1841338,37.4719277,-3.50552912,-6.29861706,0.58555688,16.338404,17.399015,15.30138,            ,305.1841534,37.4719557
Berkeley_87         ,259,2060968614233634816,1,1.0,305.3535298,37.3800299,-3.6309289,-6.35574347,0.61594749,11.517008,12.354993,10.587426,            ,305.3535501,37.3800582
Berkeley_87         ,259,2060968682953119872,1,1.0,305.3302092,37.3901739,-3.57360108,-6.41537298,0.57288825,10.41083,11.181137,9.544292,            ,305.3302292,37.3902024
Berkeley_87         ,259,2060968786032331520,1,1.0,305.3488866,37.4003754,-3.64664645,-6.5208302,0.58369498,14.710028,15.616334,13.757596,            ,305.348907,37.4004044
Berkeley_87         ,259,2060968816088163200,1,1.0,305.3519242,37.4204895,-3.74030133,-6.22125967,0.53817999,16.582779,17.85889,15.478386,            ,305.3519452,37.4205172
Berkeley_87         ,259,2060968820392072448,1,1.0,305.3484778,37.4103185,-3.74015187,-6.3578743,0.53212988,16.272747,17.554419,15.167155,            ,305.3484987,37.4103468
