cluster_label,source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,membership_prob,prob_source,ms_flag,giant_flag,cluster_centre_ra,cluster_centre_dec,hunt24_name,simbad_name,sp_type,sp_class
11,2.05796E+18,305.340058,37.315209,-3.514533,-6.423713,0.030644,0.035154,0.564114,0.031985,15.838528,16.628012,14.952779,1.013631,0.96554,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05796E+18,305.451624,37.234684,-3.59407,-6.427073,0.016207,0.019582,0.561473,0.01707,14.559622,15.168472,13.794169,1.059443,0.950219,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.419568,37.527976,-3.816396,-6.316758,0.052585,0.062864,0.512654,0.054716,16.878548,18.226345,15.719171,0.988924,0.940832,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.463508,37.572204,-3.67757,-6.284499,0.010465,0.013703,0.541841,0.011585,13.231024,13.82627,12.477731,1.014748,0.995884,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.389462,37.405371,-3.566541,-6.438241,0.012618,0.014063,0.58453,0.012874,12.844893,13.684399,11.934689,1.090819,0.986205,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.49964,37.440038,-3.71205,-6.485398,0.027734,0.03114,0.516219,0.02775,12.340214,13.042027,11.023702,1.54169,0.938475,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.447238,37.442194,-3.670851,-6.40933,0.011641,0.013375,0.536613,0.011951,10.99183,11.819003,10.090996,0.982775,0.989786,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05796E+18,305.570769,37.37997,-3.531024,-6.275451,0.040623,0.046768,0.495902,0.042707,16.356047,17.52602,15.282919,1.022522,0.938717,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06097E+18,305.404247,37.46553,-3.627667,-6.351808,0.019064,0.02291,0.534132,0.019451,14.840752,15.933171,13.804211,0.984863,0.994799,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05796E+18,305.334092,37.342766,-3.681823,-6.247535,0.052908,0.060723,0.626655,0.055083,16.893955,18.122534,15.797048,0.950231,0.957196,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.491999,37.349883,-3.624438,-6.419776,0.117619,0.143004,0.588227,0.123447,18.316801,19.838968,17.145159,0.955269,0.919161,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.362601,37.34099,-3.677095,-6.491092,0.036808,0.046585,0.513176,0.039798,16.22391,17.216442,15.241226,0.993191,0.919191,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.425101,37.443448,-3.384996,-6.377043,0.128933,0.158336,0.60325,0.137903,18.36156,20.035679,17.129278,1.037595,0.914815,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05796E+18,305.336447,37.342813,-3.590724,-6.293171,0.020397,0.022496,0.575614,0.021268,14.896418,15.702987,13.998932,1.018647,0.991266,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.462926,37.360826,-3.531694,-6.33445,0.017012,0.019556,0.530786,0.017413,14.546013,15.48347,13.579087,0.930614,0.981607,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.470979,37.417343,-3.665298,-6.501491,0.042652,0.049849,0.586064,0.045648,16.40198,17.622606,15.318115,1.091097,0.970876,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.455537,37.426459,-3.668032,-6.300773,0.043811,0.048678,0.587881,0.045107,16.530718,17.603336,15.511369,0.945821,0.990604,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.453457,37.456769,-3.648046,-6.330537,0.022082,0.025933,0.550592,0.023214,15.227593,16.318424,14.18759,1.009872,0.996272,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.38148,37.344809,-3.54738,-6.360688,0.012215,0.014912,0.552706,0.013043,10.936842,11.58163,10.151587,0.987398,0.993075,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.368018,37.378022,-3.602639,-6.144674,0.025451,0.027877,0.553797,0.02509,15.176867,16.116459,14.211189,1.036181,0.992394,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.43037,37.432519,-3.559908,-6.193018,0.023546,0.026047,0.562079,0.024052,15.257838,16.254442,14.26301,0.996505,0.995926,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.406284,37.334058,-3.545474,-6.35141,0.134295,0.15824,0.584236,0.144554,18.296738,19.712578,17.146734,1.017351,0.907804,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06099E+18,305.190219,37.60443,-3.542799,-6.067034,0.082613,0.089617,0.525123,0.088379,17.673119,19.058321,16.52752,1.048588,0.908026,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.06099E+18,305.191927,37.716944,-3.628814,-6.141284,0.022877,0.024546,0.560744,0.022039,14.817837,15.393193,14.073464,1.293895,0.971577,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.451716,37.432721,-3.778281,-6.319778,0.133822,0.158021,0.497247,0.139382,18.29437,20.012434,17.062443,1.023972,0.929457,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.467648,37.488193,-3.787907,-6.284335,0.04904,0.058039,0.478865,0.050889,16.812283,18.186405,15.662685,1.021026,0.910441,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05796E+18,305.426359,37.314434,-3.612169,-6.363187,0.021638,0.02366,0.529192,0.02188,14.939471,15.775762,14.021869,0.99959,0.975118,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.402604,37.35672,-3.637093,-6.403853,0.011998,0.013174,0.564187,0.012307,13.379146,14.100642,12.536953,0.967253,0.993775,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.409878,37.412596,-3.634718,-6.25489,0.041004,0.039802,0.58815,0.037859,16.069218,17.07735,15.060719,0.947277,0.992569,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.341779,37.36032,-3.737747,-6.141181,0.030732,0.034675,0.606356,0.031642,15.89105,16.973524,14.848578,0.978948,0.933549,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.36654,37.381106,-3.495067,-6.269083,0.038367,0.046109,0.493412,0.040038,16.278265,17.362488,15.24834,0.996693,0.948995,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05797E+18,305.582077,37.450163,-3.498171,-6.386065,0.032222,0.036408,0.520691,0.032438,16.01771,17.003706,15.025715,0.986923,0.963222,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
11,2.05796E+18,305.486156,37.32653,-3.646815,-6.420146,0.061288,0.072844,0.489925,0.061948,17.128193,18.473272,15.999939,0.971669,0.912839,mcmc,,,305.409139,37.412596,Berkeley_87,no known OC,,
