# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed Sep 23 15:46:23 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.30000 0.1817362607 1.6279629144    0.182 -1.009  3.4715  3.544    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.93e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.293 8.709 10.560 7.410
0.0152 0.01508 6.30000 0.1899462342 1.6586123417    0.190 -1.006  3.4728  3.565    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.75e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.284 8.687 10.526 7.391
0.0152 0.01508 6.30000 0.1980860382 1.6873452592    0.198 -0.995  3.4747  3.580    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.69e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.257 8.642 10.464 7.351
0.0152 0.01508 6.30000 0.2094424367 1.7249638153    0.209 -0.960  3.4788  3.586    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.89e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.171 8.522 10.308 7.240
0.0152 0.01508 6.30000 0.2219325304 1.7633906408    0.222 -0.928  3.4826  3.594    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.08e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.089 8.409 10.161 7.136
0.0152 0.01508 6.30000 0.2343772352 1.7989788929    0.234 -0.904  3.4858  3.607    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.14e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.031 8.323 10.047 7.060
0.0152 0.01508 6.30000 0.2468598783 1.8322896182    0.247 -0.891  3.4884  3.627    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.05e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.997 8.265 9.964 7.009
0.0152 0.01508 6.30000 0.2598547041 1.8647175420    0.260 -0.866  3.4921  3.639    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.15e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.934 8.175 9.844 6.927
0.0152 0.01508 6.30000 0.2791996896 1.9092753333    0.279 -0.826  3.4974  3.652    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.36e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.835 8.039 9.671 6.803
0.0152 0.01508 6.30000 0.2992769182 1.9514636102    0.299 -0.795  3.5021  3.669    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.46e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.756 7.928 9.526 6.702
